name,0,1,2,3,4,5,converged
25124A,300.0,374.93557609584764,367.6684200882149,371.3345851165303,365.48091169149495,365.48091169149495,True
25124B,300.0,198.8048525553872,314.36198483390325,192.67947624481624,,,False
25124C,300.0,208.02117311820615,184.50575662644033,188.21099502825368,190.50124347961287,190.50124347961287,True
44739,300.0,184.17268041957936,193.99354780103204,,,,False
19670AB,300.0,246.95993164437675,231.25073536225162,223.45330308843927,224.54034365335517,,False
19670A,300.0,207.59856058216528,198.12820749890952,,,,False
19670B,300.0,235.23766079897922,257.54173656219206,265.2557695402398,247.37012240711056,247.37012240711056,True
19670C,300.0,338.25917751288915,480.76589453225796,125.32204342006206,,,False
19670D,300.0,540.3282360564054,193.56660281468947,148.4324242388701,170.13431814531526,156.93823938386274,True
12833A,300.0,213.8412006327296,217.2199709468066,219.35041561228627,221.6216159713089,221.62161597130893,True
12833B,300.0,,,,,,False
J083829.2+441904.8,300.0,,,,,,False
44858,300.0,296.2191703499368,299.32333296104116,301.49965917456075,297.2552570301754,297.2552570301754,True
J215504.8-093520,300.0,255.6988709992884,259.48225227215624,259.61669245995023,259.75362906473873,259.75362906473873,True
J215437.2-091532.4,300.0,20.058850522654947,,,,,False
50433,300.0,218.16888027696712,205.47446032653312,205.30463882509835,205.34152373012975,205.34152373012975,True
